Ranking,Instituto,Country,Size,Visibilidad,Ficheros_ricos,Scholar
929,Instituto Nacional de Cancerología Colombia,co,2929,3430,613,264
929,Centro Médico Teknon,es,646,772,3494,1934
932,University of South Alabama Health System,us,1648,2433,971,513
932,Soon Chun Hyang University Hospital Gumi,kr,322,669,5559,1934
932,Azienda Sanitaria Locale di Nuoro,it,302,3447,5,1934
935,West Houston Medical Center,us,785,1938,7298,234
936,Mayo Clinic Health System,us,1549,795,1083,2394
936,Shanghai Pulmonary Hospital,cn,1934,1151,1618,1145
936,South West Yorkshire Partnership NHS Foundation Trust,uk,2094,2615,620,492
939,University of Michigan W.K Kellogg Eye Center,us,2615,595,3765,1328
940,Nelson Marlborough District Health Board,nz,519,3464,896,504
941,Centre Hospitalier Universitaire de Brugmann,be,608,1715,884,1328
942,Guizhou Provincial People's Hospital ,cn,774,881,1509,2394
943,Hospital Privado de Comunidad,ar,3425,6351,1458,33
944,Hong Kong Sanatorium & Hospital,hk,1576,1343,392,1934
945,Ospedale Casa Sollievo della Sofferenza,it,397,1686,1174,1739
945,(1)  Ortenau Klinikum,de,1010,1768,784,1157
947,St Martin de Porres Hospital,tw,997,1895,246,1815
948,Azienda Sanitaria Locale n° 2 Savonese,it,2983,2682,120,679
949,Loyola University Health System,us,1085,423,5445,2394
950,University of Chicago Comer Children's Hospital,us,2423,867,1923,1328
951,Melbourne Health The Royal Melbourne Hospital,au,1822,1164,2429,972
951,Florida Hospital Association,us,4003,794,2674,972
953,Institut Za Onkologiju Vojvodine,rs,2898,6039,683,83
954,Sutter Medical Center Sacramento,us,391,2196,1940,753
954,Research Institute of Cardiology Tomsk Scientific Center - Siberian Branch of the Russian Academy of Medical Sciences,ru,4447,4995,1505,67
956,Drk Kliniken Berlin,de,2013,849,1412,1934
957,Azienda Ospedaliera Universitaria Ospedali Riuniti di Trieste,it,1061,4601,191,433
957,St George's Healthcare Trust,uk,2408,1460,647,1157
959,Missouri Delta Medical Center,us,6496,126,6897,2394
959,Osaka Prefectural Hospital Organization,jp,3602,1588,105,1328
959,Sendai National Hospital,jp,8347,2912,456,214
962,Penrose St Francis Health Services,us,3839,280,4747,2394
962,Friendship Hospital,cn,1869,837,3607,1157
964,Gelre Ziekenhuizen.,nl,1650,1692,562,1270
964,Yale Cancer Center,us,1475,2042,1510,630
966,Saint Agnes Medical Center CA,us,1451,1327,2380,931
966,Southcoast Health System & Southcoast Hospitals Group,us,2474,1202,408,1934
968,Sana Kliniken,de,442,1074,1586,2394
969,Hôpitaux de Saint-Maurice,fr,8974,239,2841,2394
970,"Welcome to St Joseph Mercy Oakland Ann Arbor, Michigan (MI) - St Joseph Mercy Health System",us,2787,533,2096,2394
970,University of Iowa Children's Hospital,us,905,2578,2298,456
972,Liaocheng Second People's Hospital,cn,3054,188,7755,2394
972,Metro Health,us,2187,1400,1212,1085
974,St Joseph Health Center,us,2244,1094,1538,1289
974,(1)  Adventist Health System,us,388,578,5624,2394
976,Shenzhen Charity Hospital,cn,177,291,10253,2394
977,Memorial Hospital Jacksonville,us,736,947,6619,898
978,Le Bonheur Children's Medical Center,us,1977,1033,948,1934
979,Oak Hill Hospital,us,816,629,3814,2394
980,Long Island IVF (East Coast Fertility),us,2106,668,5597,1132
981,Klinikum Ingolstadt,de,2373,1075,1872,1157
981,Hallmark Health,us,615,1441,2522,1270
983,Jeroen Bosch Ziekenhuis,nl,2066,970,522,2394
983,Mckinley Health Center University of Illinois at Urbana Champaign,us,5723,382,2043,2394
985,Phramongkutklao Hospital,th,2373,2671,761,483
986,Cgh Medical Center,us,715,1352,1217,1934
987,Klinikführer Rheinland,de,309,2152,380,1934
988,London Bridge Hospital,uk,1303,663,2714,2394
989,Third Hospital of Xiamen City,cn,659,129,12104,2394
990,Unità Sanitaria Locale 7 di Siena,it,2169,2873,615,508
991,Konkuk University Medical Center,kr,181,771,5071,2394
991,Hôpital Universitaire des Enfants Reine Fabiola,be,1492,3090,2171,311
993,Atlanticare Regional Medical Center,us,2504,1040,2898,972
994,Alexian Brothers Health System,us,1279,868,1560,2394
995,Kendall Regional Medical Center,us,822,525,5518,2394
996,Fayette Regional Health System Connersville IN,us,6479,133,7210,2394
997,Iwk Health Centre,ca,3099,1550,690,1085
998,MDhospitals Maryland Hospital Association,us,1046,1682,967,1328
998,Suanprung Psychiatric Hospital,th,2026,1170,806,1934
998,St Vicent's Health St Vicent's Hospital Melbourne,au,3563,1226,855,1289
1001,Affiliated Children's Hospital of Zhejiang University,cn,1485,412,5624,2394
1002,Yukon Health & Social Services,ca,3331,834,1178,1934
1002,Rose Medical Center,us,1058,695,4654,1934
1004,Helse Vest Rhf Regionalt Helseføretak,no,2049,1758,328,1328
1004,UC Health,us,1254,1062,1725,1934
1006,Moorfields Eye Hospital NHS Foundation Trust,uk,6177,655,1962,1328
1006,Institut Jules Bordet,be,2711,2181,2186,392
1008,China Medical University Hospital,tw,2338,2410,992,549
1009,Brooklyn Hospital Center,us,3280,1406,3911,494
1009,Northside Hospital & Tampa Bay Heart Institute,us,791,601,6213,1934
1011,Department of Surgery at the University of Michigan,us,3019,745,2474,1815
1011,Helse Nord Trøndelag,no,1459,3754,156,634
1013,University of Texas Medical Branch HealthCare at Galveston,us,343,927,3086,2394
1014,University Central Hospital Russian,ru,1811,281,7560,2394
1015,Spedali Civili di Brescia Azienda Ospedaliera,it,2732,1501,487,1328
1015,Third Affiliated Hospital of Guangzhou Medical College/Guangzhou Second People's Hospital,cn,2348,724,1531,2394
1017,Northern Health and Social Care Trust,uk,3727,2657,561,473
1017,Lancashire Care NHS Foundation Trust,uk,310,2438,682,1328
1017,Lawnwood Regional Medical Center & Heart Institute,us,976,490,5838,2394
1020,South West London and St George's Mental Health NHS Trust,uk,39,2520,509,2394
1020,Aurora Baycare Medical Center,us,328,3332,4991,275
1022,(1)  Baptist Health Care Pensacola Florida,us,3524,526,2197,2394
1022,Nagasaki University Hospital of Medicine and Dentistry,jp,3034,1896,429,931
1024,Salzburger Landeskliniken Salzburger National Hospitals,at,2292,857,997,2394
1025,St Joseph's Health Centre Toronto,ca,2560,2037,768,753
1025,Centro de Educación Médica e Investigaciones Clínicas “Norberto Quirno”,ar,2944,2672,1224,403
1027,St Luke's Hospital Chesterfield Missouri,us,830,1294,1580,1934
1027,"Welcome to St Mary Mercy Livonia Hospital - Livonia, MI",us,2346,1084,1729,1328
1029,Immanuel Krankenhaus / Immanuel Diakonie Group,de,735,1236,1911,1934
1030,Pinnaclehealth Harrisburg,us,1500,892,1397,2394
1030,Maricopa Integrated Health System,us,2979,1393,586,1739
1032,Mahatma Gandhi Institute of Medical Sciences & The Kasturba Hospital,in,3766,2627,4343,159
1032,Maastricht UMC+,nl,1531,1140,732,2394
1034,Jps Health Network,us,2579,1117,1471,1739
1035,Butler Hospital Providence Rhode Island,us,1838,1580,3519,609
1035,Centre Hospitalier Universitaire de Poitiers,fr,1426,2199,560,1085
1037,Holy Cross Hospital Silver Spring MD,us,1689,1318,1155,1815
1038,Swedish Medical Denver,us,673,821,3156,2394
1038,Old Harlow Health Centre Jenner House,uk,6600,203,5789,2394
1040,Xuan Wu Hospital Capital Medical University,cn,1202,436,6167,2394
1041,Royal National Orthopaedic Hospital NHS Trust,uk,4467,1670,332,1085
1042,Casa di Cura Pineta del Carso,it,3953,156,8481,2394
1042,Istituto di Ricovero e Cura a Carattere Scientifico Irccs Burlo Garofolo di Trieste,it,3544,2705,227,677
1044,Huaxin Hospital,cn,1298,620,3748,2394
1045,(1)  Hospital Universitário da Universidade Federal do Maranhão,br,2673,7779,1543,25
1046,University Hospital in Krakow,pl,2043,2066,41,1934
1047,(1)  Bridgeport Hospital,us,121,1190,3329,2394
1048,Hospital Universitari de Bellvitge,es,1447,2303,781,903
1049,Azienda Per I Servizi Sanitari nº 6 Friuli Occidentale,it,1315,3793,432,539
1050,Policlinico di Modena Servizio Sanitario Regionale Emilia Romagna Azienda Ospedaliero Universitaria di Modena,it,2809,2785,266,694
1050,Priory Group,uk,1907,806,1580,2394
1050,Solothurner Spitaler AG,ch,518,1709,998,1934
1050,Azienda Unità Sanitaria Locale 12 di Viareggio,it,1079,3109,45,1739
1054,(1)  Taipei Medical University Hospital,tw,1995,2676,369,815
1055,Clínica Baviera Instituto Oftalmológico Europeo,es,3415,1604,1937,634
1056,Canterbury District Health Board,nz,777,4897,433,440
1056,Jaslok Hospital & Research Centre,in,4825,641,3178,1328
1056,KPJ Healthcare Berhad,my,3276,251,7133,2394
1056,Sint Franciscus Gasthuis,nl,2630,1389,1259,1157
1060,Birmingham Children's Hospital NHS Trust,uk,726,1585,1901,1328
1060,Carondelet Health Network AZ,us,3963,1780,1266,634
1062,Sydney Children's Hospital,au,3596,1281,1659,972
1063,Osaka National Hospital,jp,3002,1137,738,1934
1063,Care Group Healthcare System,us,562,939,2814,2394
1065,European Medical Centre,ru,873,758,5127,1934
1066,First Affiliated Hospital of Suzhou University,cn,1338,1794,1119,1270
1066,Boys Town National Research Hospital,us,4246,1240,2364,753
1068,Henan Provincial People's Hospital,cn,885,846,2867,2394
1068,Tampa General Hospital,us,5243,803,1384,1815
1068,ThedaCare,us,1361,906,1689,2394
1068,Tokushima Red Cross Hospital,jp,4894,4052,876,183
1068,Third Affiliated Hospital of Henan College of Traditional Chinese Medicine,cn,3932,1177,6167,423
1068,Royal Devon and Exeter NHS Foundation Trust,uk,3479,1420,384,1815
1074,Shandong Academy of Traditional Chinese Medicine,cn,3951,217,7477,2394
1075,Christian Medical College & Hospital,us,4452,1077,1085,1328
1075,Grand Strand Regional Medical Center,us,759,754,3965,2394
1077,East & North Hertfordshire NHS Trust,uk,2729,2207,318,972
1077,St Mary Medical Center Langhorne PA,us,1346,1547,1013,1815
1077,UCSF Benioff Children's Hospital,us,2598,616,3778,1934
1077,Sherwood Forest Hospitals NHS Foundation Trust,uk,904,4384,708,446
1081,Presbyterian St Luke's Medical Center,us,815,588,7039,1934
1081,Akron General Medical Center,us,1545,1227,1363,1934
1083,Central Florida Regional Hospital,us,1157,741,4856,1934
1083,Children's Hospital New Orleans,us,1360,1559,2505,972
1085,Krankenhaus der Barmherzigen Brüder Trier,de,3721,691,1392,2394
1085,St Anthony's Health Care,us,1276,959,1666,2394
1087,Louisiana Hospital Association,us,5943,1433,534,1085
1088,Azienda Ospedaliera di Verona,it,2258,2970,150,860
1089,Parrish Medical Center,us,1593,1123,2831,1328
1089,Hospital Pequeno Principe,br,3456,3733,2922,138
1091,St Antonius Ziekenhuis,nl,2083,1054,812,2394
1091,Guthrie Health and Medical Care,us,2038,1251,1768,1328
1091,St Petersburg General Hospital,us,628,610,5838,2394
1094,Klinikum Chemnitz,de,1799,1928,716,1157
1094,HCA Virginia (Henrico Doctors' Hospital),us,883,657,4856,2394
1096,Cheshire Medical Center / Dartmouth Hitchcock Clinic,us,1296,1376,2887,1157
1096,Kdhcd Kaweah Delta Health Care District,us,2242,1330,3814,753
1098,Robin Lane Medical Centre NHS,uk,2251,85,12104,2394
1098,Centre Hospitalier Sainte Anne Hopital de Paris Psychiatrie Neurologie Neurochirurgie,fr,210,1772,3073,1328
1100,Hangzhou First People’s Hospital,cn,1457,398,6826,2394
1101,Dekalb Medical Center Decatur GA,us,2923,1072,1841,1739
1102,Japanese Red Cross Medical Center,jp,205,1665,1313,2394
1103,Heshan City MCH,cn,718,223,10913,2394
1103,Children's Hospital of Omaha,us,1158,1971,822,1328
1105,Tucson Medical Center,us,1640,1088,1098,2394
1105,Xiamen City Maternal and Child Health Hospital Lin Qiaozhi Women and Children Hospital,cn,1032,576,5660,2394
1107,Klinikum Dortmund,de,1639,1575,1217,1328
1108,St Helens & Knowsley NHS Trust,uk,2936,3052,421,583
1108,Osaka University Medical Hospital,jp,4524,1571,1028,903
1108,People's Liberation Army No 454 Hospital,cn,2052,316,8651,1934
1111,Hsin Chu General Hospital,tw,579,1814,475,2394
1112,Capital & Coast District Health Board,nz,3300,2218,329,931
1113,Epworth Health Care,au,2816,1856,2582,549
1113,Meriter Health Services,us,1774,968,1351,2394
1115,North Mississippi Medical Center,us,4309,1651,260,1328
1115,Nemocnice Havlíckuv Brod,cz,2869,2030,569,972
1117,Tangshan Workers' Hospital,cn,117,3377,1063,1145
1117,St Mark's Hospital UT,us,1059,522,6374,2394
1117,Universitätsmedizin Mannheim,de,2868,461,4464,2394
1120,Connecticut Children's Medical Center,us,399,1046,3204,2394
1121,Hôpitaux Universitaires de Strasbourg,fr,3476,1723,1440,753
1121,Universitair Ziekenhuis Gent University Hospital Ghent,be,2471,957,1034,2394
1121,Gleadless Medical Centre,uk,6742,210,6554,2394
1124,Group Florence Nightingale Hastanesi,tr,2317,1006,4547,972
1124,BC Women's Hospital & Health Centre,ca,6028,1468,1783,634
1124,John C Lincoln Hospitals,us,4083,884,2263,1328
1124,Steiermarki Hospital Company Ltd.,at,2057,950,1270,2394
1128,Bedford Hospital NHS Trust,uk,4320,1306,792,1328
1128,Catholic Health Services of Long Island,us,780,1115,2033,2394
1130,Palms West Hospital,us,911,707,6213,1934
1131,Infertility Center of St Louis St Luke’s Hospital,us,6440,2010,2648,310
1131,First Affiliated Hospital of Jiamusy University,cn,714,980,2684,2394
1133,Department of Pediatrics at The University of Texas Health Science Center At San Antonio,us,8657,2613,1458,225
1133,Azienda Unità Sanitaria Locale di Rieti,it,3014,4881,144,363
1133,Hendricks Regional Health,us,586,1511,1863,1934
1136,Northern Westchester Hospital,us,3322,632,3533,1934
1136,Beijing University People's Hospital,cn,2858,545,3550,2394
1136,Torrance Memorial Medical Center,us,3082,1132,1816,1328
1136,Wuqing Chinese Medicine Hospital,cn,3803,182,8843,2394
1140,Women's and Children's Hospital Adelaide,au,2918,1496,578,1815
1140,Satakunta Hospital District,fi,3171,3191,816,433
1140,Azienda Unità Sanitaria Locale della Valle d'Aosta,it,902,2450,201,1934
1143,Bay of Plenty District Health Board,nz,3611,3831,689,333
1144,Berkshire Health Systems,us,1682,2841,1096,626
1145,High Point Regional Health System,us,3850,658,2957,1934
1146,Chatham Hospital,us,4085,451,3748,2394
1146,Klinikum Braunschweig,de,2337,1707,1024,1157
1148,Trihealth Bethesda and Good Samaritan Hospital,us,1118,704,4413,2394
1149,Saint Francis Care Hartford CT,us,2343,900,1363,2394
1149,(1)  Alfred Health Victoria,au,2532,1577,1562,1085
1149,Ziekenhuis Gelderse Vallei,nl,1874,1595,1158,1328
1152,Texas Scottish Rite Hospital for Children,us,3683,762,1392,2394
1152,First Affilliated Hospital of Kunming Medical College,cn,2446,470,5051,2394
1154,St Teresa's Hospital,hk,7067,672,2544,1328
1155,Portsmouth Hospitals NHS Trust,uk,4376,2135,546,753
1156,Ramsay Health Care,au,4174,700,1548,2394
1157,(1)  First People's Hospital of Foshan,cn,838,816,5518,1934
1157,Genesys Regional Medical Center Grand Blanc Michigan,us,839,2109,1066,1328
1157,Central and North West London Mental Health Trust,uk,3390,1300,1212,1328
1160,Univesity of California San Diego Medical Center Moores Cancer Center / Ucsd Cancer Center,us,5406,653,3018,1815
1160,District Hospital Khanty Mansiysk Okb,ru,1006,1287,1320,2394
1162,Chungnam National University Hospital,kr,82,3148,590,1934
1163,Úrazova Nemocnice V Brne/Traumatological Hospital of Brno,cz,7402,2722,1311,265
1163,West London Mental Health NHS Trust,uk,2577,1832,305,1815
1165,Uniklinik Balgrist Spital und Chirurgie,ch,3686,1627,1372,903
1166,Azienda Sanitaria Locale di Carbonia,it,373,4578,6,1934
1166,Fortis Healthcare,in,2957,790,1625,2394
1166,Hainan Provincial People's Hospital,cn,1856,511,5488,2394
1169,Fawcett Memorial Hospital,us,1280,467,6962,2394
1169,Lsu Health Care Services Division Louisiana's Hospital System,us,5151,2691,708,479
1171,Eisenhower Medical Center CA,us,623,1044,3018,2394
1171,Ziekenhuis Bernhoven,nl,467,1518,2268,1934
1173,Feminist Women's Health Center,us,4776,424,5399,1934
1173,Ridgeview Medical Center,us,1357,1916,2668,839
1175,St Mary Corwin Medical Center,us,5687,429,4682,1934
1176,Georgia Reproductive Specialists,us,5992,564,4365,1739
1177,Via Christi Health System,us,2427,883,3318,1815
1178,Centro Oncológico Mdanderson Internacional España,es,2632,869,4007,1328
1179,Oao Medicine,ru,512,1091,3145,2394
1179,St Anthony Hospital Denver CO,us,3638,324,6213,2394
1179,Sozialstiftung Bamberg,de,1839,1690,1551,1157
1182,Shandong Hospital,cn,1371,557,5838,2394
1183,Avera Health,us,1269,303,9261,2394
1184,Saint Alphonsus Regional Medical Center ID,us,1125,1087,2021,2394
1184,Department of Behavioral Health and Developmental Disabilities,us,1778,1853,359,1934
1184,Wellmont Health System,us,1272,1195,3797,1739
1187,Capital Regional Medical Center,us,757,780,4747,2394
1188,Wenling First People's Hospital,cn,1555,485,6497,2394
1189,Centra Health,us,1119,1145,1869,2394
1190,Wojewódzki Szpital Neuropsychiatryczny im.Oskara Bielawskiego w Kościanie,pl,4370,852,975,2394
1191,NHS Ayrshire & Arran,uk,3580,3546,133,661
1192,Rogers Memorial Hospital,us,4112,589,2603,2394
1192,Marseille-Kliniken (St Nikolaus Hospital Buren),de,3616,992,1390,1934
1194,Fundación Santa Fe de Bogotá Hospital Universitario,co,2631,2956,2945,319
1194,Hospital Sirio Libanês,br,2627,965,4798,1132
1196,Hospital Costa del Sol,es,1434,577,5746,2394
1197,Boulder Community Hospital,us,4320,1154,1552,1328
1198,Albert Schweitzer Ziekenhuis,nl,1906,1261,899,2394
1199,Surrey and Sussex Healthcare NHS Trust,uk,3910,2858,698,549
1199,North York General Hospital,ca,3401,1423,1145,1328
1199,Osceola Regional Medical Center,us,882,656,6059,2394
1202,Instituto Nacional de Rehabilitación,mx,3990,4975,352,272
1202,Jinan Military Region General Hospital,cn,1111,377,8651,2394
1204,Centrum Medyczne Mavit Medical Center Mavit,pl,3509,344,6328,2394
1204,Methodist Health System,us,2650,828,1928,2394
1204,Hospital Universitario da Usp,br,4117,3603,476,432
1207,Guang’anmen Hospital China Academy of Chinese Medical Sciences,cn,3316,599,6374,1328
1208,Universitair Ziekenhuis Brussel,be,1535,1152,2526,1934
1209,Health and Social Services Board,uk,3810,2267,530,860
1210,West Suffolk Hospital NHS,uk,1183,2847,299,1328
1211,Unità Locale Socio Sanitaria 16 di Padova,it,1697,2710,359,1157
1211,L.R.S Institute of Tuberculosis & Respiratory Diseases,in,11770,4150,714,123
1213,Gansu Provincial People's Hospital,cn,409,534,8481,2394
1213,Shizuoka Cancer Center Research Institute,jp,779,1788,675,2394
1213,Amphia Ziekenhuis,nl,1365,1218,1502,2394
1216,L'Hopital de Montreal Pour Enfants du Cusm,ca,3157,1205,2073,1328
1216,Lishuii Central Hospital,cn,592,1159,3018,2394
1218,South Tees Hospitals NHS Trust,uk,2949,1897,754,1157
1219,Westside Regional Medical Center,us,1253,567,6430,2394
1220,Centre Hospitalier Marc Jacquet,fr,9922,124,8086,2394
1220,Community Health Center Inc.,us,3336,2425,1537,565
1220,Centre Hospitalier Universitaire de Grenoble,fr,4103,1394,1066,1328
1223,Maoming City People's Hospital,cn,1439,1430,1630,1934
1224,Community Health Systems Inc.,us,6292,528,2416,2394
1225,Mount Nittany Medical Center,us,1031,1911,2203,1157
1226,University Hospital & Medical Center,us,1553,586,5746,2394
1227,National Cancer Centre Singapore,sg,5908,2008,1645,513
1228,Leicestershire Partnership NHS Trust,uk,5750,3435,142,565
1228,United Lincolnshire Hospitals NHS,uk,3755,2574,362,860
1228,Haikou City People's Hospital,cn,2691,719,2932,2394
1228,Azienda Ospedaliera di Padova,it,1221,2297,111,2394
1232,Scope Clinic,ru,2767,750,7560,931
1233,Oxleas NHS Foundation Trust,uk,2781,2883,824,661
1233,Azienda Ospedaliera Universitaria Senese Complesso Ospedaliero di Rilievo Nazionale e di Alta Especializzazione Policlinico Santa Maria Alle Scotte,it,898,3261,251,1739
1235,Holland Bloorview Kids Rehabilitation Hospital,ca,3987,1299,1436,1328
1235,Women & Infants Hospital of Rhode Island,us,2025,1005,1681,2394
1237,Community Medical Centers in the San Joaquin Valley,us,1415,1047,2212,2394
1238,St Franziskus Hospitals Münster,de,4531,1390,3062,753
1239,Sky Ridge Medical Center,us,2296,1323,2278,1739
1240,Xiamen University Xiamen Eye Center Affiliated Hospital,cn,930,763,5360,2394
1240,Assuta Medical Centers Assuta Hospital,il,355,1314,3107,2394
1242,Sibley Memorial Hospital Washington DC,us,2176,1275,2762,1328
1242,Saint Vincent Hospital,us,79,2654,5660,801
1244,Philippine Heart Center,ph,4722,5228,1351,133
1244,Southern Cross Healthcare,nz,4231,815,1458,2394
1246,Rockingham Memorial Hospital,us,946,310,10253,2394
1246,Centre Hospitalier Universitaire de Nantes,fr,641,999,3985,2394
1248,Northwest Medical Center Margate FL,us,1180,742,5127,2394
1248,Rui Jin Hospital Shanghai Jiao Tong University School of Medicine,cn,4124,172,9811,2394
1248,Medical City Dallas Hospital,us,340,1000,4991,2394
1251,Instituto Bernabeu,es,1222,2270,2684,815
1252,Bronson Health,us,2090,889,2348,2394
1253,CHI Franciscan Health,us,1023,3316,553,1085
1254,Jitavej Khon Khan Hospital,th,18,4912,136,2394
1255,Kent Hospital,us,2305,3048,1991,456
1256,Renmin Hospital of Wuhan University Hubei General Hospital,cn,7910,329,4413,2394
1257,Medisch Centrum Leeuwarden,nl,2064,1340,898,2394
1257,Deventer Ziekenhuis,nl,1799,1370,3677,1270
1259,Hunan Provincial Disease Prevention and Control Center,cn,1963,687,4442,2394
1259,Clinic Be Zdorov,ru,1112,475,8217,2394
1261,Centre Hospitalier Universitaire de Clermont Ferrand,fr,4281,2182,1079,737
1262,Columbia St Mary's,us,2260,948,2026,2394
1262,University of North Carolina Kidney Center's,us,5418,2041,1286,661
1264,Deutsche Herzzentrum Berlin,de,2736,1175,2976,1739
1265,Tallahassee Memorial Healthcare,us,3956,1375,3195,903
1265,Northampton General Hospital,uk,408,3628,683,1157
1267,Hôpital Erasme,be,1678,2398,1406,931
1268,Inner Mongolia Autonomous Region People's Hospital,cn,2292,474,6619,2394
1268,St Anna Zorggroep St Annaziekenhuis Centrum,nl,3799,1082,893,2394
1270,Winthrop University Hospital,us,2555,956,1852,2394
1270,Azienda Ospedaliero Universitaria Pisana,it,1259,2536,1045,1157
1272,(1)  Cottage Health System,us,1470,2191,1950,972
1273,Elliot Health System,us,1839,1358,1091,2394
1273,Kliniken Essen Mitte,de,2961,1706,2021,972
1273,Osaka Medical Center for Cancer and Cardiovascular Diseases,jp,3552,2048,117,1934
1276,Cancer Hospital of Anhui Province Anhui Provincial Hospita,cn,3049,648,3778,2394
1276,Centre Hospitalier d'Arpajon,fr,5449,299,6962,2394
1278,Wills Eye Hospital,us,2158,1355,2778,1328
1279,Washington Regional,us,132,2032,1830,2394
1280,Azienda Unità Sanitaria Locale 4 Prato,it,3053,2284,506,1157
1280,Klinika Detskej Chirurgie Lf Uk a Dfnsp,sk,1593,496,7393,2394
1280,Clínica Tambre,es,5864,919,4392,931
1280,Centrum Onkologii - Instytut im Marii Skłodowskiej-Curie,pl,3162,2805,1280,589
1284,Dean Health System,us,69,814,8843,2394
1284,Hertfordshire Community NHS Trust,uk,229,4611,1086,815
1286,St James's Hospital,ie,3650,1638,957,1328
1286,Parker Adventist Hospital,us,2893,462,6328,2394
1288,Landeskrankenhaus Klagenfurt,at,4480,2487,1843,483
1289,Physicians Regional Medical Center Collier Boulevard,us,441,862,6213,2394
1290,Hsinchu Mackay Memorial Hospital,tw,3113,2944,977,634
1291,Beaumont Hospital,ie,5267,2309,2050,473
1292,Royal Victoria Hospital,ca,4183,2141,720,972
1293,Vidant Health (University Health Systems of Eastern Carolina),us,744,1257,2976,2394
1294,Starship Children's Hospital,nz,5061,1104,2197,1328
1294,General Hospital Ioanninon Chatzikosta,gr,766,887,5232,2394
1294,Clatterbridge Centre for Oncology NHS Foundation Trust,uk,5026,3938,1116,301
1297,Medicover Poland,pl,2757,977,1775,2394
1298,Apollo Hospitals,in,1231,441,8651,2394
1299,Sussex Partnership NHS Foundation Trust,uk,1007,2280,10913,163
1299,Takeda Hospital Group,jp,2765,1129,1360,2394
1301,Community Healthcare System Indiana,us,2062,2074,1843,972
1301,Nyack Hospital,us,4554,581,3731,2394
1301,Pomona Valley Hospital Medical Center CA,us,4044,1834,7393,266
1304,Kinderspital Zurich University Children's Hospital Zurich,ch,4428,1488,1628,1157
1305,People's Hospital of Hebei Province,cn,2433,402,7660,2394
1305,Azienda Ospedaliera Universitaria Policlinico Paolo Giaccone Palermo,it,3803,4332,233,529
1307,Surrey and Borders Partnership NHS Foundation Trust,uk,1603,2902,1137,903
1308,Foshan City Nanhai District People's Hospital,cn,2892,524,5873,2394
1308,St Josephs/Candler Hospital,us,1223,1011,3473,2394
1310,University of Michigan Health Service,us,2825,805,2945,2394
1311,Children's Hospital of Nanjing Nanjing Medical University,cn,2746,536,5921,2394
1312,Tees Esk and Wear Valleys NHS Trust,uk,3967,3112,320,815
1313,Dietrich Bonhoeffer Klinikum,de,1826,3365,2446,446
1314,Guilin Traditional Chinese Medicine Hospital,cn,3658,260,9055,2394
1315,Centre de Recherche de l'Institut de Cardiologie de Montreal,ca,3674,1187,2212,1815
1315,Providence Healthcare Toronto,ca,4163,1918,1515,860
1315,Avon and Wiltshire Mental Health Partnership NHS Trust,uk,2516,2180,1430,972
1315,United Family Hospitals and Clinics,cn,2130,913,5164,1815
1315,Washington University Physicians,us,1465,625,6430,2394
1320,NMS Medical Center Moscow,ru,1661,248,10913,2394
1320,Lenoir Memorial Hospital,us,4776,573,5399,1934
1320,Maidstone and Tunbridge Wells NHS Trust,uk,3167,1484,486,2394
1323,Prairie Women's Health Centre,ca,7116,3265,1953,245
1323,Centre Hospitalier Esquirol de Limoges,fr,3558,5299,2200,148
1323,Connecticut Hospital Association,us,498,1504,2570,2394
1326,Azienda Ospedaliera Brotzu,it,596,4298,8,2394
1326,Hospital of Central Connecticut At New Britain General and Bradley Memorial Hospitals,us,3316,1169,1922,1934
1326,Psychiatric Research Institute New York State,us,2848,1974,2459,798
1329,Capital Institute of Pediatrics,cn,1530,853,4323,2394
1329,Centre Hospitalier Regionel et Universitaire de Tours,fr,4140,1674,1315,1157
1329,Stormont Vail Healthcare,us,3945,1108,3086,1328
1329,(1)  Thunder Bay Regional Health Sciences Centre,ca,3702,1649,1130,1328
1333,Azienda Complesso Ospedaliero San Filippo Neri,it,2959,3666,254,815
1333,Hochgebirgsklinik Davos,ch,7473,2127,2303,415
1335,Sykehuset Østfold,no,1562,2854,448,1328
1336,Royal Women's Hospital,au,4735,800,4547,1739
1337,Washington Hospital Healthcare System,us,2371,1523,675,2394
1337,Shanghai Vision Eye Hospital,cn,198,376,12104,2394
1337,Calderdale & Huddersfield NHS Foundation Trust,uk,2046,2825,555,1145
1340,Steward Health Care System,us,1621,510,12104,898
1340,Kameda Medical Center,jp,1941,1311,1466,2394
1342,Royan Institute Research and Clinical Center for Infertility and Reproductive Health,ir,2508,1069,3097,1934
1343,Privatklinik Bethanien das Medizinische Zentrum am Zurichberg,ch,2643,1158,1515,2394
1344,St Peter's Health Care Services,us,1247,2144,1219,1815
1345,Echinacea Clinic,ru,385,603,9055,2394
1346,Freeman Health System,us,563,2142,2748,1328
1347,Taiwan Adventist Hospital,tw,1192,1693,1115,2394
1348,Parma Community General Hospital,us,4762,1994,3145,539
1348,Christ's Hospital,uk,2852,1199,1332,2394
1350,Hopital Regional de Sudbury,ca,2127,3393,303,1085
1351,(1)  Hospital General de México,mx,6226,4497,261,386
1352,St Lucie Medical Center,us,852,733,7039,2394
1353,Mount Auburn Hospital,us,258,2716,2544,1289
1354,St Vincent Healthcare MT,us,1528,2394,2021,972
